code;site;city;province;latitude;longitude
110006;"VI/JUNDIZ";"VITORIA";"ALAVA";42.8407222;-2.7375120
110007;"ARGANDOÑA";"ARGANDOÑA";"ALAVA";42.8391416;-2.5833929
110008;"MIÑANO CT TSM - 0100013";"MIÑANO";"ALAVA";42.9114931;-2.6582152
110010;"ENTE PUBLICO AEROP. TSM - 0100100";"ANTEZANA";"ALAVA";42.8876297;-2.7259016
110032;"JUNDIZ/SECTOR 21";"VITORIA";"ALAVA";42.8407222;-2.7375120
110037;"JUNDIZ/PADULETA ARMARIO U";"JUNDIZ";"ALAVA";42.8516484;-2.7419310
110038;"VI/BULEVAR OFICINAS";"VITORIA";"ALAVA";42.8465088;-2.6724025
110040;"VI/OLMOS";"VITORIA";"ALAVA";42.8736232;-2.6534878
110090;"";"VITORIA";"ALAVA";42.8465088;-2.6724025
268001;"HELLÍN/S.RAFAEL";"HELLIN";"ALBACETE";38.5418143;-1.7023437
268004;"MINAS";"HELLIN";"ALBACETE";38.3307277;-1.6809272
268007;"AGRAMON TSM - 0200264";"AGRAMON";"ALBACETE";38.4226504;-1.6374099
268010;"MINATEDA";"HELLIN";"ALBACETE";38.4666173;-1.6116892
268011;"CANCARIX";"HELLIN";"ALBACETE";38.5106649;-1.6995137
268012;"ISSO";"HELLIN";"ALBACETE";38.4913318;-1.7441228
268013;"NAVACAMPAÑA TSM-0200144";"HELLIN";"ALBACETE";38.5106649;-1.6995137
268014;"HELLIN MINGOGIL MUXFIN";"HELLIN";"ALBACETE";38.5106649;-1.6995137
268015;"MUXFIN CAÑADA DE AGRA";"HELLIN";"ALBACETE";38.5106649;-1.6995137
270002;"RODA";"LA RODA";"ALBACETE";39.1993692;-2.1628730
270005;"SANTA MARTA ER TSM - 0200133";"RODA (LA)";"ALBACETE";39.2070200;-2.1581637
311002;"COVETA FUMA";"CAMPELLO (EL)";"ALICANTE";38.4501399;-0.3645117
320003;"SARGENTO";"BARADELLO";"ALICANTE";38.7094947;-0.5211359
361010;"BALCONES";"LOS BALCONES";"ALICANTE";38.4445747;-0.4304897
361016;"CHAPARRAL (A)";"CHAPARRAL, EL";"ALICANTE";38.0108639;-0.6947065
362008;"NUCIA, LA";"NUCIA, LA";"ALICANTE";38.5941217;-0.1228864
362013;"BARRANCO HONDO";"BARRANCO HONDO";"ALICANTE";38.3436365;-0.4881708
